,fullname,position,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,median,owner,owner.1,owner.2,owner.3,owner.4,owner.5,owner.6,owner.7,owner.8,owner.9,owner.10,owner.11,owner.12
256,Shaun Draughn,RB,NA,NA,NA,NA,4,5,NA,3,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Jerome Simpson,WR,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Danny Woodhead,RB,NA,NA,NA,NA,2,NA,9,3,NA,6,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Jackie Battle,RB,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Eddie Royal,WR,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Domenik Hixon,WR,NA,NA,NA,NA,8,10,14,NA,NA,NA,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Rashard Mendenhall,RB,NA,NA,NA,NA,7,14,NA,NA,NA,NA,6,10,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Dustin Keller,TE,NA,NA,NA,NA,2,2,8,11,NA,4,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Chaz Schilens,WR,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Brian Leonard,RB,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Charles Clay,TE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Daryl Richardson,RB,NA,NA,NA,NA,NA,3,4,4,NA,NA,4,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Vick Ballard,RB,NA,NA,NA,NA,NA,11,12,13,12,15,NA,14,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Joique Bell,RB,NA,NA,NA,NA,NA,3,NA,2,4,3,4,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
270,LaRod Stephens-Howling,RB,NA,NA,NA,NA,NA,9,2,5,4,NA,8,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
271,William Powell,RB,NA,NA,NA,NA,NA,3,4,NA,3,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Aaron Hernandez,TE,NA,NA,NA,NA,NA,3,9,NA,NA,NA,NA,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Brandon Bolden,RB,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0
